"Activity1","Activity2","Activity3","Duration","Next_Activity"
1,8,6,67,8
8,6,8,142,6
3,1,8,26073,6
1,8,8,1171,6
1,8,9,50536,6
1,8,9,212,8
8,9,8,209,6
1,8,6,28930,6
8,6,6,28931,8
6,6,8,28807,9
6,8,9,2654,8
8,9,8,2653,6
3,1,8,1466,6
1,8,9,10192,6
1,8,6,344,6
1,8,9,27106,6
1,8,9,20239,9
8,9,9,20200,8
9,9,8,9756,6
1,8,9,37050,6
1,8,6,184,6
1,8,9,9674,8
8,9,8,9673,6
1,1,9,18396,8
1,9,8,18396,9
9,8,9,30181,8
8,9,8,12912,6
1,8,9,50366,6
1,1,8,61410,6
1,8,9,5,9
8,9,9,14396,8
9,9,8,14397,6
1,8,9,8250,6
1,8,9,15535,6
8,9,6,15652,8
9,6,8,15660,9
6,8,9,17531,6
1,1,9,14571,8
1,9,8,14226,6
1,8,6,2394,6
3,1,8,15526,6
1,1,8,1627,9
1,8,9,2849,8
8,9,8,2402,2
9,8,2,11446,6
1,8,9,64498,8
8,9,8,60562,6
1,8,6,1459,8
8,6,8,2504,9
6,8,9,3242,8
8,9,8,2869,6
3,1,8,27260,6
1,8,9,20157,6
1,8,9,9012,8
8,9,8,9012,6
1,8,9,35907,8
8,9,8,35940,6
3,1,8,3,6
1,8,9,5713,6
1,1,8,3065,6
1,8,9,8644,8
8,9,8,8644,6
9,8,6,30319,8
8,6,8,24604,6
1,8,9,20125,6
1,8,9,28,8
8,9,8,55,9
9,8,9,20075,8
8,9,8,20059,6
1,8,6,295,6
3,1,8,7601,9
1,8,9,11476,8
8,9,8,11475,6
1,8,9,50096,8
8,9,8,46110,6
1,8,9,6882,6
8,9,6,4273,6
1,8,9,21112,8
8,9,8,20156,9
9,8,9,21557,6
1,1,8,2482,6
1,1,8,1666,6
1,8,9,23338,6
3,1,8,6730,6
1,8,9,22803,8
8,9,8,21346,6
1,8,9,7125,6
1,1,8,1478,6
1,8,9,11293,8
8,9,8,8559,9
9,8,9,3020,8
8,9,8,323,6
1,8,6,4408,6
1,8,9,20306,8
8,9,8,17472,6
1,8,9,10162,8
8,9,8,10159,6
1,1,8,1448,6
1,1,8,0,6
1,8,6,3826,8
8,6,8,8538,9
6,8,9,19878,8
8,9,8,16079,6
8,9,8,5677,6
9,8,6,5635,6
1,8,9,14542,6
1,8,6,1561,6
1,8,9,1066,6
1,1,8,2538,6
1,1,8,19813,6
1,1,8,8676,6
1,8,6,7123,8
8,6,8,57285,6
1,8,9,6204,8
8,9,8,6149,6
1,1,8,63266,6
1,1,8,40412,6
3,1,8,91,6
1,8,9,112,9
8,9,9,4396,8
9,9,8,7266,6
3,1,1,9,8
1,1,8,316,6
1,8,9,49523,6
3,1,8,15,6
1,9,8,32872,9
9,8,9,38846,8
8,9,8,8861,6
1,8,9,5903,8
8,9,8,5902,6
9,8,6,6902,8
8,6,8,2768,6
1,1,8,5715,6
1,9,6,21866,6
1,1,8,10382,6
1,8,6,226,6
1,8,6,211,8
8,6,8,185,9
6,8,9,1370,8
8,9,8,1301,6
1,8,9,11814,6
1,8,9,50698,6
1,8,9,38884,8
8,9,8,38885,6
1,1,8,4730,6
1,8,9,34453,8
8,9,8,4263,6
1,1,8,422,9
