"Activity1","Activity2","Activity3","Duration","Next_Activity","V6"
1,8,6,8,179,6
1,8,9,8,212,6
1,8,6,6,28931,8
8,6,6,8,29054,9
6,6,8,9,31337,8
6,8,9,8,2654,6
1,8,9,9,21589,8
8,9,9,8,28606,6
1,8,9,8,9674,6
1,1,9,8,18396,9
1,9,8,9,31308,8
9,8,9,8,30181,6
1,8,9,9,14400,8
8,9,9,8,14397,6
1,8,9,6,20115,8
8,9,6,8,15661,9
9,6,8,9,28602,6
1,1,9,8,14572,6
1,1,8,9,2868,8
1,8,9,8,2849,2
8,9,8,2,12607,6
1,8,9,8,64498,6
1,8,6,8,2580,9
8,6,8,9,4251,8
6,8,9,8,3243,6
1,8,9,8,9012,6
1,8,9,8,35941,6
1,8,9,8,8645,6
8,9,8,6,32988,8
9,8,6,8,30578,6
1,8,9,8,55,9
8,9,8,9,20086,8
9,8,9,8,20076,6
3,1,8,9,11476,8
1,8,9,8,11477,6
1,8,9,8,50096,6
1,8,9,6,6882,6
1,8,9,8,21113,9
8,9,8,9,21567,6
1,8,9,8,22803,6
1,8,9,8,11351,9
8,9,8,9,8824,8
9,8,9,8,3020,6
1,8,9,8,20361,6
1,8,9,8,10162,6
1,8,6,8,8539,9
8,6,8,9,19892,8
6,8,9,8,19890,6
8,9,8,6,5677,6
1,8,6,8,57285,6
1,8,9,8,6204,6
1,8,9,9,4397,8
8,9,9,8,7319,6
3,1,1,8,317,6
1,9,8,9,40449,8
9,8,9,8,40129,6
1,8,9,8,5903,6
8,9,8,6,7015,8
9,8,6,8,8557,6
1,8,6,8,301,9
8,6,8,9,1396,8
6,8,9,8,1370,6
1,8,9,8,38885,6
1,8,9,8,34453,6
1,1,8,9,1582,8
1,8,9,8,1446,6
1,8,9,8,26154,6
1,8,6,8,28730,6
1,1,8,6,4260,6
1,8,9,8,5461,6
1,8,9,8,341,6
1,1,8,9,1150,9
1,8,9,9,40025,8
8,9,9,8,60368,6
1,8,9,8,18561,6
1,8,9,8,10080,6
1,8,6,8,7668,6
3,1,8,6,32057,6
1,8,9,8,16104,6
1,8,9,9,42863,8
8,9,9,8,42864,6
1,8,9,8,1532,6
1,8,9,8,28790,6
1,8,9,8,21301,6
1,8,9,8,57,6
1,8,9,8,14694,6
1,8,9,8,22990,6
1,1,8,9,31367,6
1,8,2,4,64395,6
1,8,9,9,14282,8
8,9,9,8,14014,6
1,8,8,9,24215,8
8,8,9,8,24215,6
1,8,6,8,39780,6
1,9,8,9,59017,8
9,8,9,8,59003,6
1,8,9,8,60424,6
1,9,8,6,275,8
9,8,6,8,117,9
8,6,8,9,3959,8
6,8,9,8,3960,6
1,8,6,8,8794,9
8,6,8,9,32139,8
6,8,9,8,30595,6
1,8,9,8,11715,9
8,9,8,9,21858,8
9,8,9,8,21815,6
1,8,9,8,40610,6
1,8,9,8,4689,6
1,8,9,8,25897,6
1,8,9,8,22947,6
1,8,9,6,24530,6
1,8,9,8,33124,6
1,8,9,9,41274,8
8,9,9,8,41267,6
1,8,9,8,22893,6
1,8,9,8,54254,6
1,1,8,9,8535,6
1,1,8,9,40218,8
1,8,9,8,20213,6
1,8,9,8,28380,6
1,8,9,8,7139,6
1,8,9,8,51924,6
1,8,9,8,30115,6
1,8,9,9,14696,8
8,9,9,8,14665,6
1,8,9,8,8642,6
1,1,8,6,12521,6
1,8,9,8,47753,6
1,1,1,8,4597,6
1,8,6,8,252,9
8,6,8,9,37642,8
6,8,9,8,37642,6
1,8,9,8,50366,6
1,8,9,8,30332,6
1,8,9,6,18263,6
3,1,1,8,5650,6
1,8,9,8,40407,6
1,8,8,9,10195,6
1,8,9,8,6987,6
1,8,6,8,62073,6
8,6,8,6,60867,6
1,1,8,8,27717,6
1,1,1,8,34948,9
1,1,8,9,38566,8
1,8,9,8,14222,9
8,9,8,9,17070,8
9,8,9,8,17071,6
1,1,1,1,63498,8
1,1,1,8,63497,6
1,8,9,8,2427,9
8,9,8,9,23419,6
1,8,6,8,26049,6
1,8,2,5,12678,5
8,2,5,5,32756,6
1,1,8,8,31669,6
1,8,9,8,40286,6
1,1,1,8,30183,6
1,8,9,8,20436,9
8,9,8,9,31619,6
9,8,9,6,29879,6
1,8,9,9,21261,6
1,8,9,9,25874,8
8,9,9,8,22093,9
9,9,8,9,11649,8
9,8,9,8,7542,6
1,8,6,6,2558,8
8,6,6,8,17442,6
1,8,2,6,59147,8
8,2,6,8,59147,2
2,6,8,2,59150,6
1,8,9,8,36110,6
1,8,9,8,55994,6
1,8,9,8,41451,6
1,8,9,9,42132,8
8,9,9,8,41765,6
1,8,9,8,6990,6
1,1,8,9,10092,8
1,8,9,8,5715,6
1,8,9,8,1451,6
1,8,8,8,8396,9
8,8,8,9,8649,9
8,8,9,9,12954,8
8,9,9,8,4610,6
1,1,1,8,25843,9
1,1,8,9,26012,6
1,9,8,9,2888,8
9,8,9,8,1415,6
1,8,9,8,25838,6
1,8,9,8,10037,6
1,8,9,8,26295,6
1,1,8,6,29834,8
1,8,6,8,34794,9
8,6,8,9,63527,8
6,8,9,8,59099,6
1,8,9,8,40106,6
1,8,6,8,4034,6
1,8,9,8,35708,6
1,8,9,8,22931,6
1,8,9,8,53246,6
1,8,9,8,23414,6
1,8,9,6,35679,6
1,8,9,8,47821,6
1,1,8,2,26185,6
1,8,9,8,41533,6
1,1,8,9,3098,8
1,8,9,8,2896,6
1,8,9,8,4142,6
1,8,6,8,6839,9
8,6,8,9,1025,8
6,8,9,8,978,6
1,1,8,9,1621,6
1,8,9,8,24348,6
1,8,9,8,11439,6
8,9,8,6,37482,8
9,8,6,8,37283,9
8,6,8,9,27699,8
6,8,9,8,27698,6
1,1,8,9,28706,6
1,1,8,9,53311,6
3,1,8,9,30559,8
1,8,9,8,30561,6
1,8,7,8,7085,9
8,7,8,9,1374,8
7,8,9,8,1373,6
1,8,9,8,28489,6
1,8,2,6,39999,8
8,2,6,8,40354,6
1,8,9,8,20316,6
1,1,1,8,2648,6
1,1,8,6,2577,6
1,8,9,9,53275,6
1,8,9,8,18606,8
8,9,8,8,18774,9
9,8,8,9,17621,8
8,8,9,8,8914,9
8,9,8,9,21917,8
9,8,9,8,21750,6
1,8,9,8,30380,6
1,8,9,8,47290,9
8,9,8,9,19890,8
9,8,9,8,19889,9
8,9,8,9,103,8
9,8,9,8,102,9
8,9,8,9,9991,8
9,8,9,8,9991,6
1,9,8,6,64,6
1,8,9,8,20181,6
1,1,8,9,40678,8
1,8,9,8,40677,6
1,8,9,8,40348,6
1,9,8,6,45598,6
1,8,9,8,19923,2
8,9,8,2,16873,6
9,8,2,6,19020,8
8,2,6,8,13003,6
1,8,6,8,6946,6
1,8,9,8,57697,6
1,8,9,8,1023,6
1,8,9,8,58953,6
1,8,9,8,25563,6
1,1,8,9,3267,6
1,8,9,8,43140,6
8,9,8,6,8487,8
9,8,6,8,9915,6
1,8,9,8,43009,6
1,8,6,8,18738,6
1,8,9,8,19158,9
8,9,8,9,57521,8
9,8,9,8,39960,6
1,8,9,8,16919,6
8,9,8,6,11783,8
9,8,6,8,11782,9
8,6,8,9,1621,8
6,8,9,8,1621,2
8,9,8,2,21161,6
9,8,2,6,29797,8
8,2,6,8,28548,6
1,8,9,8,7321,6
1,8,9,9,30351,6
1,8,9,8,21595,6
1,8,9,8,111,6
3,1,1,8,1450,9
1,1,8,9,40070,8
1,8,9,8,38849,6
8,6,8,9,8567,8
6,8,9,8,7123,6
1,8,9,8,14458,6
8,9,8,6,20113,8
9,8,6,8,28587,6
1,8,9,8,64711,6
1,8,9,8,37412,6
1,8,9,8,24890,6
1,8,6,8,19796,6
1,8,9,8,2609,6
1,8,9,8,11755,6
1,1,8,9,7160,6
