"Activity1","Activity2","Activity3","Duration","Next_Activity","V6","V7"
1,8,6,6,8,29054,9
8,6,6,8,9,31584,8
6,6,8,9,8,31337,6
1,8,9,9,8,29995,6
1,1,9,8,9,31308,8
1,9,8,9,8,31308,6
1,8,9,9,8,14401,6
1,8,9,6,8,20124,9
8,9,6,8,9,28603,6
1,1,8,9,8,2868,2
1,8,9,8,2,13054,6
1,8,6,8,9,4327,8
8,6,8,9,8,4252,6
1,8,9,8,6,32989,8
8,9,8,6,8,33247,6
1,8,9,8,9,20086,8
8,9,8,9,8,20087,6
3,1,8,9,8,11477,6
1,8,9,8,9,22524,6
1,8,9,8,9,11616,8
8,9,8,9,8,8824,6
1,8,6,8,9,19893,8
8,6,8,9,8,19904,6
1,8,9,9,8,7320,6
1,9,8,9,8,41732,6
1,8,9,8,6,7016,8
8,9,8,6,8,8670,6
1,8,6,8,9,1512,8
8,6,8,9,8,1396,6
1,1,8,9,8,1606,6
1,1,8,9,9,40025,8
1,8,9,9,8,60535,6
1,8,9,9,8,42864,6
1,8,9,9,8,14283,6
1,8,8,9,8,24216,6
1,9,8,9,8,59018,6
1,9,8,6,8,319,9
9,8,6,8,9,3992,8
8,6,8,9,8,3960,6
1,8,6,8,9,36469,8
8,6,8,9,8,32170,6
1,8,9,8,9,21859,8
8,9,8,9,8,21858,6
1,8,9,9,8,41274,6
1,1,8,9,8,40218,6
1,8,9,9,8,14697,6
1,8,6,8,9,37642,8
8,6,8,9,8,37642,6
1,8,6,8,6,62073,6
1,1,1,8,9,49131,8
1,1,8,9,8,38566,9
1,8,9,8,9,17109,8
8,9,8,9,8,17071,6
1,1,1,1,8,63499,6
1,8,9,8,9,24463,6
1,8,2,5,5,43052,6
1,8,9,8,9,33125,6
8,9,8,9,6,31619,6
1,8,9,9,8,25875,9
8,9,9,8,9,22093,8
9,9,8,9,8,11650,6
1,8,6,6,8,18410,6
1,8,2,6,8,59147,2
8,2,6,8,2,59151,6
1,8,9,9,8,42132,6
1,1,8,9,8,10092,6
1,8,8,8,9,8650,9
8,8,8,9,9,12955,8
8,8,9,9,8,12958,6
1,1,1,8,9,26013,6
1,9,8,9,8,2889,6
1,1,8,6,8,35964,9
1,8,6,8,9,63527,8
8,6,8,9,8,63527,6
1,1,8,9,8,3099,6
1,8,6,8,9,6881,8
8,6,8,9,8,1027,6
1,8,9,8,6,37482,8
8,9,8,6,8,38862,9
9,8,6,8,9,37558,8
8,6,8,9,8,27699,6
3,1,8,9,8,30561,6
1,8,7,8,9,7085,8
8,7,8,9,8,1374,6
1,8,2,6,8,40354,6
1,1,1,8,6,2648,6
1,8,9,8,8,18774,9
8,9,8,8,9,19006,8
9,8,8,9,8,17625,9
8,8,9,8,9,30427,8
8,9,8,9,8,21918,6
1,8,9,8,9,47392,8
8,9,8,9,8,19890,9
9,8,9,8,9,19889,8
8,9,8,9,8,103,9
9,8,9,8,9,10093,8
8,9,8,9,8,9991,6
1,1,8,9,8,40678,6
1,8,9,8,2,28444,6
8,9,8,2,6,20078,8
9,8,2,6,8,20237,6
1,8,9,8,6,50504,8
8,9,8,6,8,9928,6
1,8,9,8,9,59105,8
8,9,8,9,8,57521,6
1,8,9,8,6,17289,8
8,9,8,6,8,11783,9
9,8,6,8,9,13033,8
8,6,8,9,8,1621,2
6,8,9,8,2,21531,6
8,9,8,2,6,29797,8
9,8,2,6,8,29799,6
3,1,1,8,9,40088,8
1,1,8,9,8,40070,6
8,6,8,9,8,8568,6
1,8,9,8,6,20115,8
8,9,8,6,8,28689,6
1,1,8,9,8,21564,9
1,8,9,8,9,22623,6
1,8,9,8,2,49993,6
1,8,9,9,8,36053,6
3,1,1,8,9,23300,6
1,1,8,9,8,39110,6
1,1,8,9,8,34615,6
1,1,8,9,8,34585,6
1,8,9,8,9,30124,8
8,9,8,9,8,30124,6
1,8,9,9,8,14,6
8,9,9,8,6,1,6
9,9,8,6,6,5473,6
1,8,9,8,9,18636,8
8,9,8,9,8,18638,9
9,8,9,8,9,10491,8
8,9,8,9,8,3139,6
1,1,1,8,6,29929,8
1,1,8,6,8,47126,9
1,8,6,8,9,62243,8
8,6,8,9,8,62244,6
1,8,9,8,9,40291,8
8,9,8,9,8,36012,6
3,1,1,8,9,14461,8
1,1,8,9,8,14457,6
1,1,8,6,8,11412,6
1,8,9,8,9,4238,8
8,9,8,9,8,3136,9
9,8,9,8,9,11337,8
8,9,8,9,8,11165,6
9,8,9,8,6,12947,8
8,9,8,6,8,10131,9
9,8,6,8,9,20070,8
8,6,8,9,8,11806,6
1,8,9,8,9,43024,8
8,9,8,9,8,43026,6
9,8,9,8,6,43039,8
8,9,8,6,8,34548,6
1,1,1,8,9,48845,6
1,9,8,9,8,30215,6
1,1,1,8,6,5228,8
1,1,8,6,8,5217,2
1,8,6,8,2,5217,6
8,6,8,2,6,4157,8
6,8,2,6,8,4125,2
8,2,6,8,2,15,6
1,8,8,6,8,14257,6
1,1,8,9,8,9685,6
1,8,9,6,8,37663,8
8,9,6,8,8,41727,6
9,6,8,8,6,41668,6
1,1,8,9,8,38956,6
1,8,9,8,6,28482,8
8,9,8,6,8,4099,9
9,8,6,8,9,4311,8
8,6,8,9,8,304,6
1,8,9,8,6,25402,8
8,9,8,6,8,25460,6
1,8,6,8,2,282,6
8,6,8,2,6,1,8
6,8,2,6,8,1,2
8,2,6,8,2,0,6
1,8,9,8,9,24393,8
8,9,8,9,8,20105,6
1,8,9,6,8,20069,9
8,9,6,8,9,30275,6
1,8,9,8,9,21425,6
1,1,8,9,9,4811,8
1,8,9,9,8,77,6
1,1,1,8,9,42929,8
1,1,8,9,8,7028,6
1,1,8,9,8,2876,9
1,8,9,8,9,2880,8
8,9,8,9,8,65,6
1,8,9,8,9,43183,8
8,9,8,9,8,43183,6
1,8,8,9,8,43306,6
3,1,8,6,8,9991,9
1,8,6,8,9,30537,8
8,6,8,9,8,24774,6
1,8,9,9,9,50400,6
1,9,8,9,8,42965,6
3,1,8,6,8,8920,6
1,8,9,8,8,10025,6
1,1,8,9,6,18872,8
1,8,9,6,8,38893,6
1,8,6,8,2,30583,6
1,8,6,8,8,33088,6
1,8,9,9,6,33022,6
1,1,8,9,8,270,6
1,8,9,8,6,4502,8
8,9,8,6,8,4602,8
9,8,6,8,8,4607,8
8,6,8,8,8,8717,6
1,9,8,9,8,1454,6
9,8,9,8,6,1493,8
8,9,8,6,8,1487,9
9,8,6,8,9,11242,8
8,6,8,9,8,9804,6
6,8,9,8,6,10146,8
8,9,8,6,8,11190,9
9,8,6,8,9,28358,8
8,6,8,9,8,18604,6
1,8,8,8,6,15483,8
8,8,8,6,8,15483,6
8,8,6,8,6,25609,8
8,6,8,6,8,24567,8
6,8,6,8,8,20211,6
1,8,9,9,8,35955,6
1,8,6,8,9,39116,8
8,6,8,9,8,31753,6
1,8,6,8,9,24027,8
8,6,8,9,8,4304,6
1,1,8,9,8,9791,6
1,8,8,9,8,38938,6
8,8,9,8,6,38994,8
8,9,8,6,8,31781,9
9,8,6,8,9,54649,8
8,6,8,9,8,24103,6
1,1,8,9,8,15377,6
1,8,6,8,9,16124,8
8,6,8,9,8,16125,6
1,8,6,8,9,4429,8
8,6,8,9,8,3297,9
6,8,9,8,9,3293,8
8,9,8,9,8,1880,9
9,8,9,8,9,23405,6
1,9,8,9,8,3983,6
3,1,8,9,8,10326,9
1,8,9,8,9,33451,8
8,9,8,9,8,31668,6
1,8,9,8,9,64645,6
1,8,9,8,6,1078,8
8,9,8,6,8,1078,9
9,8,6,8,9,28420,8
8,6,8,9,8,27406,6
1,8,9,8,9,37645,6
1,8,9,9,9,18225,9
8,9,9,9,9,41257,6
1,1,8,9,8,7170,6
1,8,4,8,9,63522,6
1,8,9,8,9,27193,8
8,9,8,9,8,27194,6
3,1,1,1,8,3058,6
1,8,6,8,9,27297,8
8,6,8,9,8,15863,6
3,1,8,6,8,1516,9
1,8,6,8,9,4412,8
8,6,8,9,8,4364,6
1,1,1,1,8,17297,9
1,1,1,8,9,18797,8
1,1,8,9,8,13062,6
1,8,9,8,9,9804,6
1,8,9,8,9,24555,8
8,9,8,9,8,24555,6
1,8,9,8,9,48606,6
1,8,9,9,9,21686,6
1,1,8,9,8,1122,6
1,1,8,9,8,25952,6
1,8,6,8,9,48543,8
8,6,8,9,8,35609,6
1,8,9,9,9,42862,8
8,9,9,9,8,42862,6
1,1,1,8,9,31258,6
1,1,8,9,8,1750,6
1,8,6,8,6,4146,8
8,6,8,6,8,5583,9
6,8,6,8,9,33284,8
8,6,8,9,8,31777,6
1,8,9,6,8,41318,9
8,9,6,8,9,46303,6
3,1,8,9,8,47467,6
1,8,6,8,9,7517,8
8,6,8,9,8,7517,6
1,1,8,9,8,10104,9
1,8,9,8,9,34136,8
8,9,8,9,8,31269,6
1,1,8,9,8,175,6
1,8,9,8,6,39170,6
1,8,9,8,6,31943,8
8,9,8,6,8,32005,6
1,8,2,8,9,60501,6
1,1,8,9,8,40000,6
1,8,8,9,8,9886,6
1,8,9,8,9,51982,6
1,8,9,8,6,18394,6
1,8,6,8,6,30069,6
1,8,9,9,8,29833,6
1,8,9,9,6,11640,6
3,1,8,6,8,31928,6
1,8,6,8,6,31926,6
3,1,8,1,1,2881,9
1,8,1,1,9,2858,8
8,1,1,9,8,1298,6
3,1,8,9,9,63632,8
1,8,9,9,8,63631,6
1,8,9,8,8,8303,6
1,8,9,9,8,28760,6
3,1,1,8,9,20336,8
1,1,8,9,8,20083,6
1,1,1,8,9,30064,6
1,1,1,9,8,63293,6
1,8,9,9,8,40140,6
3,1,1,9,8,1382,6
1,1,9,8,6,5752,8
1,9,8,6,8,5595,6
1,8,9,8,6,11872,6
1,1,8,9,8,41932,6
1,8,6,8,9,13153,8
8,6,8,9,8,13152,6
1,8,9,8,6,20083,8
8,9,8,6,8,19834,6
1,8,8,9,8,21494,6
3,1,1,1,8,15883,6
1,8,9,8,6,21517,8
8,9,8,6,8,30258,6
1,1,8,9,8,11261,6
1,1,8,2,5,29932,6
3,1,1,1,1,5385,8
1,1,1,1,8,5368,6
1,1,8,9,8,31844,6
1,8,8,9,8,15963,6
3,1,8,9,8,51676,6
1,8,6,8,9,2766,8
8,6,8,9,8,4010,6
1,1,8,9,9,62124,6
3,1,8,9,8,50308,6
1,8,4,4,8,49159,6
8,4,4,8,6,44905,6
1,8,9,9,8,41657,6
1,1,8,9,8,24047,6
1,1,8,9,8,16902,6
1,8,9,8,9,40110,8
8,9,8,9,8,40110,6
1,8,2,8,9,40259,6
1,8,6,8,2,4655,6
1,1,8,9,8,11946,6
1,8,9,8,9,38864,6
1,1,8,9,9,31652,8
1,8,9,9,8,15422,6
1,1,8,9,8,25880,6
1,8,8,9,8,38878,6
1,8,9,9,8,23223,6
1,1,8,9,8,20515,6
1,8,9,8,6,48828,8
8,9,8,6,8,49180,6
1,1,8,9,8,60630,6
1,8,9,8,9,8802,8
8,9,8,9,8,8801,6
1,8,6,8,9,34663,8
8,6,8,9,8,34662,6
1,1,8,9,8,36090,6
1,8,8,9,8,14338,6
1,1,8,9,8,24427,6
1,8,9,8,9,35907,6
8,9,8,9,6,35906,6
3,1,1,8,9,37436,8
1,1,8,9,8,37317,6
1,8,8,9,9,29021,8
8,8,9,9,8,29021,6
1,9,8,9,8,9788,6
1,1,1,1,6,15735,8
1,1,1,6,8,15619,6
1,8,9,8,6,37438,6
