"Activity1","Activity2","Activity3","Duration","Next_Activity"
"NEW","FIN","RELEASE",526643,6
"FIN","RELEASE","CODE OK",4844,1
"NEW","CHANGE DIAGN","FIN",175706,13
"CHANGE DIAGN","FIN","RELEASE",-265567,6
"FIN","RELEASE","CODE OK",139971,1
"NEW","CHANGE DIAGN","FIN",29459,13
"CHANGE DIAGN","FIN","RELEASE",-153058,6
"FIN","RELEASE","CODE OK",370974,1
"NEW","FIN","RELEASE",-531046,14
"FIN","RELEASE","REOPEN",-423426,8
"RELEASE","REOPEN","FIN",134974,13
"REOPEN","FIN","RELEASE",137847,6
"FIN","RELEASE","CODE OK",42540,14
"RELEASE","CODE OK","REOPEN",-146520,8
"CODE OK","REOPEN","FIN",-126364,13
"REOPEN","FIN","RELEASE",-100178,6
"FIN","RELEASE","CODE OK",88733,1
"NEW","CHANGE DIAGN","FIN",77289,14
"CHANGE DIAGN","FIN","REOPEN",81637,8
"FIN","REOPEN","FIN",220492,13
"REOPEN","FIN","RELEASE",-26861,6
"FIN","RELEASE","CODE OK",-31210,1
"NEW","FIN","RELEASE",146823,6
"FIN","RELEASE","CODE OK",-173810,1
"NEW","CHANGE DIAGN","FIN",9528,13
"CHANGE DIAGN","FIN","RELEASE",10584,6
"FIN","RELEASE","CODE OK",135848,1
"NEW","FIN","RELEASE",67109,6
"FIN","RELEASE","CODE OK",71587,1
"NEW","CHANGE DIAGN","FIN",71527,13
"CHANGE DIAGN","FIN","RELEASE",30977,6
"FIN","RELEASE","CODE OK",207213,1
"NEW","FIN","RELEASE",2883,6
"FIN","RELEASE","CODE OK",105770,1
"NEW","CHANGE DIAGN","FIN",-74051,13
"CHANGE DIAGN","FIN","RELEASE",-81358,6
"FIN","RELEASE","CODE OK",-115569,1
"NEW","FIN","RELEASE",-47434,6
"FIN","RELEASE","CODE OK",76497,1
"NEW","CHANGE DIAGN","FIN",-138920,13
"CHANGE DIAGN","FIN","RELEASE",-141790,6
"FIN","RELEASE","CODE OK",-167256,1
"NEW","FIN","RELEASE",-95974,6
"FIN","RELEASE","CODE OK",-98841,1
"NEW","CHANGE DIAGN","FIN",411086,13
"CHANGE DIAGN","FIN","RELEASE",484443,6
"FIN","RELEASE","CODE OK",488389,1
"NEW","CHANGE DIAGN","FIN",-599891,13
"CHANGE DIAGN","FIN","RELEASE",120414,6
"FIN","RELEASE","CODE OK",91322,1
"NEW","CHANGE DIAGN","FIN",19510,13
"CHANGE DIAGN","FIN","RELEASE",129017,6
"FIN","RELEASE","CODE OK",70019,1
"NEW","CHANGE DIAGN","CHANGE DIAGN",131701,8
"CHANGE DIAGN","CHANGE DIAGN","FIN",17859,13
"CHANGE DIAGN","FIN","RELEASE",23689,6
"FIN","RELEASE","CODE OK",146745,1
"NEW","CHANGE DIAGN","FIN",1302,13
"CHANGE DIAGN","FIN","RELEASE",241022,6
"FIN","RELEASE","CODE OK",205326,1
"NEW","CHANGE DIAGN","FIN",-237028,13
"CHANGE DIAGN","FIN","RELEASE",-239806,6
"FIN","RELEASE","CODE OK",31681,1
"NEW","FIN","RELEASE",137684,6
"FIN","RELEASE","CODE OK",148247,1
"NEW","FIN","RELEASE",137329,6
"FIN","RELEASE","CODE OK",9496,1
"NEW","CHANGE DIAGN","FIN",335482,13
"CHANGE DIAGN","FIN","RELEASE",-171484,6
"FIN","RELEASE","CODE OK",-171484,1
"NEW","CHANGE DIAGN","FIN",205815,13
"CHANGE DIAGN","FIN","RELEASE",-41468,6
"FIN","RELEASE","CODE OK",46060,1
"NEW","CHANGE DIAGN","FIN",-141090,13
"CHANGE DIAGN","FIN","RELEASE",-142526,6
"FIN","RELEASE","CODE OK",-221955,1
"RELEASE","CODE OK","BILLED",16536,16
"CODE OK","BILLED","STORNO",55197,12
"BILLED","STORNO","REJECT",-5868,1
"STORNO","REJECT","BILLED",118763,16
"REJECT","BILLED","STORNO",74336,12
"BILLED","STORNO","REJECT",140907,1
"NEW","CHANGE DIAGN","FIN",-255394,13
"CHANGE DIAGN","FIN","RELEASE",22002,6
"FIN","RELEASE","CODE OK",55132,1
"NEW","FIN","RELEASE",33558,6
"FIN","RELEASE","CODE OK",7571,1
"NEW","CHANGE DIAGN","FIN",526740,13
"CHANGE DIAGN","FIN","RELEASE",2863,6
"FIN","RELEASE","CODE OK",-557825,1
"NEW","CHANGE DIAGN","FIN",2184,13
