"Activity1","Activity2","Activity3","Duration","Next_Activity","V6"
"NEW","FIN","RELEASE","CODE OK",528971,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",176097,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-261282,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",-152608,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",371052,"BILLED"
"NEW","FIN","RELEASE","REOPEN",-396424,"FIN"
"FIN","RELEASE","REOPEN","FIN",-423075,"RELEASE"
"RELEASE","REOPEN","FIN","RELEASE",137848,"CODE OK"
"REOPEN","FIN","RELEASE","CODE OK",177162,"REOPEN"
"FIN","RELEASE","CODE OK","REOPEN",-146169,"FIN"
"RELEASE","CODE OK","REOPEN","FIN",-123490,"RELEASE"
"CODE OK","REOPEN","FIN","RELEASE",-60863,"CODE OK"
"REOPEN","FIN","RELEASE","CODE OK",-99976,"BILLED"
"NEW","CHANGE DIAGN","FIN","REOPEN",81638,"FIN"
"CHANGE DIAGN","FIN","REOPEN","FIN",297428,"RELEASE"
"FIN","REOPEN","FIN","RELEASE",-26509,"CODE OK"
"REOPEN","FIN","RELEASE","CODE OK",-26861,"BILLED"
"NEW","FIN","RELEASE","CODE OK",-173546,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",18106,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",136949,"BILLED"
"NEW","FIN","RELEASE","CODE OK",71588,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",81626,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",227884,"BILLED"
"NEW","FIN","RELEASE","CODE OK",105771,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",-74050,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-70384,"BILLED"
"NEW","FIN","RELEASE","CODE OK",86882,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",-138920,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-7587,"BILLED"
"NEW","FIN","RELEASE","CODE OK",-95972,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",551089,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",488448,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",-599782,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",123207,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",19566,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",137818,"BILLED"
"NEW","CHANGE DIAGN","CHANGE DIAGN","FIN",131891,"RELEASE"
"CHANGE DIAGN","CHANGE DIAGN","FIN","RELEASE",23697,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",164406,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",206473,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",241171,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",-235328,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-209829,"BILLED"
"NEW","FIN","RELEASE","CODE OK",279790,"BILLED"
"NEW","FIN","RELEASE","CODE OK",140684,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",-171484,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-171484,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",-41402,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",50592,"BILLED"
