"Activity1","Activity2","Activity3","Duration","Next_Activity","V6","V7"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",180382,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",371502,"BILLED"
"NEW","FIN","RELEASE","REOPEN","FIN",-396073,"RELEASE"
"FIN","RELEASE","REOPEN","FIN","RELEASE",-420201,"CODE OK"
"RELEASE","REOPEN","FIN","RELEASE","CODE OK",177163,"REOPEN"
"REOPEN","FIN","RELEASE","CODE OK","REOPEN",-11547,"FIN"
"FIN","RELEASE","CODE OK","REOPEN","FIN",-123139,"RELEASE"
"RELEASE","CODE OK","REOPEN","FIN","RELEASE",-57989,"CODE OK"
"CODE OK","REOPEN","FIN","RELEASE","CODE OK",-60661,"BILLED"
"NEW","CHANGE DIAGN","FIN","REOPEN","FIN",297429,"RELEASE"
"CHANGE DIAGN","FIN","REOPEN","FIN","RELEASE",50427,"CODE OK"
"FIN","REOPEN","FIN","RELEASE","CODE OK",-26509,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",144471,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",278533,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-63076,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-4717,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",555094,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-596989,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",28367,"BILLED"
"NEW","CHANGE DIAGN","CHANGE DIAGN","FIN","RELEASE",137729,"CODE OK"
"CHANGE DIAGN","CHANGE DIAGN","FIN","RELEASE","CODE OK",164414,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",206622,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-205351,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-171484,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",50658,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-135179,"BILLED"
"CHANGE DIAGN","FIN","RELEASE","CODE OK","BILLED",-131797,"STORNO"
"FIN","RELEASE","CODE OK","BILLED","STORNO",-166862,"REJECT"
"RELEASE","CODE OK","BILLED","STORNO","REJECT",43,"BILLED"
"CODE OK","BILLED","STORNO","REJECT","BILLED",129492,"STORNO"
"BILLED","STORNO","REJECT","BILLED","STORNO",129429,"REJECT"
"STORNO","REJECT","BILLED","STORNO","REJECT",124414,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-216372,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-31679,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-487073,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-137548,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-260751,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-405,"BILLED"
