CaseID,ActivityID,CompleteTimestamp
2,1,4/3/2012 16:55
2,8,4/3/2012 16:55
2,6,4/5/2012 17:15
3,1,10/29/2010 18:14
3,8,11/4/2010 1:16
3,6,11/4/2010 1:21
4,1,12/15/2010 23:31
4,8,12/16/2010 17:01
4,6,12/16/2010 17:08
5,1,4/3/2012 21:08
5,8,4/3/2012 21:45
5,6,4/3/2012 21:47
5,8,4/3/2012 22:15
5,6,4/4/2012 0:07
6,1,10/25/2011 23:13
6,8,10/25/2011 23:58
6,6,10/26/2011 17:54
8,1,7/5/2012 16:30
8,8,7/5/2012 17:25
8,6,7/5/2012 17:44
9,3,5/7/2010 21:02
9,1,5/7/2010 21:02
9,8,5/24/2010 18:26
9,6,5/25/2010 23:35
10,1,2/10/2010 17:50
10,8,3/19/2010 17:47
10,6,3/19/2010 17:47
11,1,12/22/2011 0:24
11,8,12/22/2011 0:25
11,6,12/22/2011 18:55
14,1,7/5/2011 21:47
14,8,7/5/2011 21:47
14,6,7/5/2011 21:52
16,1,2/22/2012 23:16
16,8,2/23/2012 1:14
16,8,2/23/2012 1:23
16,6,2/23/2012 18:47
17,1,10/14/2011 15:10
17,8,11/3/2011 1:17
17,6,11/9/2011 22:31
19,1,7/7/2010 15:54
19,8,7/9/2010 18:10
19,6,7/9/2010 18:11
21,1,1/15/2011 0:15
21,8,1/27/2011 17:06
21,6,1/27/2011 19:19
22,1,7/23/2012 15:49
22,8,7/23/2012 15:49
22,9,7/23/2012 16:51
22,6,8/27/2012 18:05
24,1,4/27/2010 17:49
24,8,6/8/2010 19:06
24,6,6/8/2010 22:46
25,1,12/30/2010 18:27
25,8,12/30/2010 22:14
25,6,12/31/2010 0:16
26,1,3/31/2011 15:28
26,8,3/31/2011 15:31
26,9,3/31/2011 16:39
26,8,3/31/2011 19:00
26,6,3/31/2011 19:00
27,1,11/24/2011 23:02
27,8,11/24/2011 23:02
27,6,12/12/2011 18:04
29,1,7/30/2012 18:07
29,8,7/30/2012 18:07
29,6,7/30/2012 20:29
30,1,1/21/2011 18:47
30,8,2/7/2011 18:19
30,6,2/10/2011 18:01
32,1,4/27/2011 15:38
32,8,4/27/2011 20:46
32,6,4/28/2011 16:18
35,1,1/18/2012 17:15
35,6,1/18/2012 18:46
36,1,6/29/2011 18:06
36,8,6/30/2011 20:58
36,6,7/5/2011 15:32
37,1,2/10/2011 20:13
37,8,2/10/2011 20:13
37,6,2/11/2011 0:20
37,6,3/2/2011 22:23
37,8,3/2/2011 22:24
37,9,3/3/2011 0:27
37,8,3/4/2011 18:37
37,6,3/4/2011 18:37
38,1,3/20/2012 16:57
38,8,3/20/2012 16:58
38,6,3/20/2012 17:18
40,1,8/9/2012 20:13
40,8,8/9/2012 20:13
40,6,8/9/2012 20:46
41,1,12/14/2010 19:44
41,8,12/14/2010 19:44
41,6,12/14/2010 19:45
