"Activity1","Activity2","Activity3","Duration","Next_Activity","V6","V7","V8","V9"
1,8,6,6,8,9,8,31584,6
1,9,8,6,8,9,8,4195,6
1,1,1,8,9,8,9,52018,8
1,1,8,9,8,9,8,41454,6
1,8,9,9,8,9,8,25876,6
1,8,8,8,9,9,8,12960,6
1,1,8,6,8,9,8,64697,6
1,8,9,8,6,8,9,39137,8
8,9,8,6,8,9,8,39137,6
1,8,9,8,8,9,8,19010,9
8,9,8,8,9,8,9,40523,8
9,8,8,9,8,9,8,39139,6
1,8,9,8,9,8,9,47392,8
8,9,8,9,8,9,8,19890,9
9,8,9,8,9,8,9,29880,8
8,9,8,9,8,9,8,10094,6
1,8,9,8,2,6,8,32866,6
1,8,9,8,6,8,9,18540,8
8,9,8,6,8,9,8,13034,2
9,8,6,8,9,8,2,32943,6
8,6,8,9,8,2,6,30167,8
6,8,9,8,2,6,8,30169,6
1,8,9,9,8,6,6,5486,6
1,8,9,8,9,8,9,20149,8
8,9,8,9,8,9,8,20150,6
1,1,1,8,6,8,9,63210,8
1,1,8,6,8,9,8,63189,6
1,8,9,8,9,8,9,12513,8
8,9,8,9,8,9,8,11402,6
9,8,9,8,9,8,6,13166,8
8,9,8,9,8,6,8,13019,9
9,8,9,8,6,8,9,22924,8
8,9,8,6,8,9,8,20081,6
1,8,9,8,9,8,6,43046,8
8,9,8,9,8,6,8,43331,6
1,1,1,8,6,8,2,5228,6
1,1,8,6,8,2,6,5218,8
1,8,6,8,2,6,8,5218,2
8,6,8,2,6,8,2,4171,6
1,8,9,6,8,8,6,42992,6
1,1,8,9,8,6,8,39044,9
1,8,9,8,6,8,9,28694,8
8,9,8,6,8,9,8,4312,6
1,8,6,8,2,6,8,282,2
8,6,8,2,6,8,2,1,6
1,1,8,9,8,9,8,2928,6
3,1,8,6,8,9,8,30546,6
1,1,8,9,8,6,8,4648,8
1,8,9,8,6,8,8,4667,8
8,9,8,6,8,8,8,8940,6
1,9,8,9,8,6,8,1503,9
9,8,9,8,6,8,9,11248,8
8,9,8,6,8,9,8,11242,6
9,8,6,8,9,8,6,11584,8
8,6,8,9,8,6,8,11239,9
6,8,9,8,6,8,9,28407,8
8,9,8,6,8,9,8,28359,6
1,8,8,8,6,8,6,25610,8
8,8,8,6,8,6,8,25625,8
8,8,6,8,6,8,8,25918,6
1,8,8,9,8,6,8,40043,9
8,8,9,8,6,8,9,61993,8
8,9,8,6,8,9,8,54779,6
1,8,6,8,9,8,9,4430,8
8,6,8,9,8,9,8,3314,9
6,8,9,8,9,8,9,24845,6
3,1,8,9,8,9,8,33456,6
1,8,9,8,6,8,9,28429,8
8,9,8,6,8,9,8,28429,6
3,1,8,6,8,9,8,5507,6
1,1,1,1,8,9,8,18799,6
1,8,6,8,6,8,9,35911,8
8,6,8,6,8,9,8,35882,6
1,1,8,9,8,9,8,34406,6
3,1,8,1,1,9,8,2881,6
3,1,1,9,8,6,8,5829,6
1,9,8,9,8,6,8,17214,9
9,8,9,8,6,8,9,30126,8
8,9,8,6,8,9,8,26232,6
1,1,8,6,8,9,8,30288,6
1,8,6,8,9,8,6,25823,8
8,6,8,9,8,6,8,25822,9
6,8,9,8,6,8,9,20223,8
8,9,8,6,8,9,8,22019,6
1,8,6,8,6,8,2,58086,6
1,8,9,9,8,9,9,34699,8
8,9,9,8,9,9,8,35705,8
9,9,8,9,9,8,8,35712,8
9,8,9,9,8,8,8,41914,6
3,1,8,9,8,9,8,1420,6
1,8,9,8,9,8,9,14464,8
8,9,8,9,8,9,8,14498,6
3,1,8,6,8,9,8,58616,6
1,8,9,8,9,8,6,22790,8
8,9,8,9,8,6,8,22864,9
9,8,9,8,6,8,9,49138,8
8,9,8,6,8,9,8,49133,6
1,1,1,8,9,8,9,10023,8
1,1,8,9,8,9,8,7643,6
1,8,9,9,8,9,8,28600,2
8,9,9,8,9,8,2,28751,6
